id,chave,valor,descricao,tipo,atualizado_em,atualizado_por
1b556a1c-de2d-4fe2-b362-4d5e119213da,prazo_criar_os,2,Valor padrao da UPS - Linha Viva,number,2026-01-12 18:02:20.541512+00,
3d53fa73-28da-45c4-9da8-b09ae5a96207,prazo_enviar_book,2,Valor padrao da UPS - Linha Viva,number,2026-01-12 17:52:46.755+00,
50c15a66-7605-43fd-83f4-4fd957add17b,prazo_emissao_nf,2,Valor padrao da UPS - Linha Viva,number,2026-01-12 18:02:20.541512+00,
627902fc-4a75-4d91-a3e8-34c098241a95,prazo_apresentacao_tci,1,Valor padrao da UPS - Linha Viva,number,2026-01-12 18:02:20.541512+00,
631110e1-66ae-4de7-89ad-8efd6eb71f6e,prazo_abertura_obra_energisa,7,Valor padrao da UPS - Linha Viva,number,2026-01-12 17:52:46.755+00,
7bda763c-3439-40dc-a2ae-0ad783261390,prazo_aprovacao_fiscal,1,Valor padrao da UPS - Linha Viva,number,2026-01-12 18:02:20.541512+00,
8ea2bf85-f044-4e77-867f-910b70bfb734,ups_valor_lv,357.78,Valor padrao da UPS - Linha Viva,number,2025-11-27 18:39:55.918092+00,
94d81287-15b2-4311-a2d5-9b8850162569,acionamento_urgente_prazo,2,Prazo em horas para acionamentos urgentes,number,2025-11-27 15:10:12.235648+00,
961818b9-df0e-40be-8685-e2053cbc4fed,prazo_geracao_lote,2,Valor padrao da UPS - Linha Viva,number,2026-01-12 18:02:20.541512+00,
96917a6a-9010-485a-9d6e-87a0397c5abd,upr_valor_padrao,150.00,Legacy: utilize ups_valor_lm e ups_valor_lv,number,2025-11-27 15:12:50.601761+00,
9b967ea5-9380-446d-9bc9-97b1e63baaf2,prazo_aprovacao_gestor,,Prazo padrão em dias para aprovação do gestor,number,2026-01-12 18:02:20.541512+00,
a32de768-6e71-42b9-aa6e-15680897b0c5,ups_valor_lm,119.62,Valor padrao da UPS - Linha Morta,number,2025-11-27 18:40:22.868974+00,
a49657a1-3f6a-4815-a8d6-b87523c1256c,prazo_aprovacao_medicao,1,Valor padrao da UPS - Linha Viva,number,2026-01-12 18:02:20.541512+00,
ceb55b73-1a36-47c8-bd55-c20181a656c9,prazo_medir_servico_executado,,Valor padrao da UPS - Linha Viva,number,2026-01-12 18:02:20.541512+00,
eb7b3e2a-f1d3-4adf-815a-c17989412bd6,email_notificacoes,true,Enviar notificações por email,boolean,2025-11-27 15:10:12.235648+00,
fa78d3e9-863c-445f-a81e-962487c429b5,prazo_abertura_energisa,7,Prazo padrão em dias para abertura pela Energisa,number,2025-11-27 15:10:12.235648+00,